Vampire Hunter D: Bloodlust,20.045
Corpse Bride,94.479
Gandhi,24.094
Serpico,22.025
True Romance,41.649
The Conjuring,104.815
Malcolm X,26.496
The Man Who Wasn't There,25.26
Nowhere,256.473
Shaun of the Dead,49.365
Enola Holmes 2,53.949
Donnie Brasco,35.321
Free Guy,93.752
The French Connection,22.194
The Fifth Element,65.208
Sisu,143.412
The Favourite,31.676
Treasure Planet,49.847
Blood Diamond,49.714
Cinderella Man,26.245
Instant Family,32.955
The Flu,38.04
Midnight in Paris,31.959
Badlands,22.151
Kuch Kuch Hota Hai,23.749
The Wrestler,21.254
The Bride of Frankenstein,25.982
From Up on Poppy Hill,39.777
The Book of Henry,36.523
The Invisible Man,20.484
Rebel Without a Cause,25.319
Dark Waters,24.662
The Revenant,77.144
Lupin the Third: The Castle of Cagliostro,22.553
Patton,25.245
Menace II Society,21.833
A Few Good Men,38.908
X-Men: Days of Future Past,75.243
The Conversation,21.161
PAW Patrol: Mighty Pups,47.195
Escape from Alcatraz,36.331
The Girl with the Dragon Tattoo,37.778
The Machinist,25.939
Doctor Zhivago,25.923
The Birds,29.48
Fury,109.528
The Skin I Live In,40.82
The Sandlot,26.883
Police Story,34.744
Before Midnight,20.212
My Fair Lady,21.325
Zodiac,49.575
The Lighthouse,35.637
Crush,48.503
BlacKkKlansman,40.141
The Goonies,62.617
Midnight Cowboy,24.158
Lilo & Stitch,78.394
Sabrina,22.011
Shadow of a Doubt,21.067
The Double Life of Véronique,22.018
The Croods: A New Age,103.733
Black Narcissus,21.22
Toy Story 4,107.141
Dragon Ball Z: The History of Trunks,37.486
Empire of the Sun,26.565
E.T. the Extra-Terrestrial,45.587
Resident Evil: Death Island,133.656
Summer Wars,23.915
Missing,45.317
The Magnificent Seven,50.544
One Piece Film: Z,31.18
Dragon Ball Z: Bardock - The Father of Goku,73.794
Midnight Express,33.277
"Paul, Apostle of Christ",44.271
Somewhere in Time,26.634
Predator,79.453
The Odd Couple,25.53
The Beasts,26.191
Suspiria,30.476
Hero,24.267
Abominable,44.771
The Crow,42.085
Boyhood,28.624
Ed Wood,20.255
A Quiet Place Part II,73.641
The Red Turtle,21.297
A Star Is Born,55.409
Almost Famous,26.049
The SpongeBob Movie: Sponge on the Run,76.034
"I, Tonya",32.042
Hercules,84.421
The Wave,21.041
Z-O-M-B-I-E-S 3,35.652
The Shack,65.032
Facing the Giants,38.38
Justice Society: World War II,24.912
Still Alice,24.816
Kes,26.116
Zorba the Greek,20.224
Bullet Train,95.327
Days of Heaven,21.521
The Royal Tenenbaums,40.229
Upgrade,40.18
The Day of the Jackal,26.114
Frankenstein,23.969
The Swimmers,20.147
Walk the Line,28.617
Deadpool 2,120.647
Batman: Mask of the Phantasm,42.006
How the Grinch Stole Christmas!,64.292
mid90s,22.203
Rogue One: A Star Wars Story,45.067
Carol,27.35
Training Day,45.751
Fearless,32.454
A Bittersweet Life,22.981
Glory,32.872
The Book Thief,20.444
The Flowers of War,20.657
My Cousin Vinny,39.383
Willy Wonka & the Chocolate Factory,73.539
I Can Only Imagine,35.357
The Dirt,31.255
Gaslight,20.601
In Bruges,28.939
Dawn of the Dead,32.651
Prison Break: The Final Break,31.309
Barbie as The Princess & the Pauper,42.049
How to Steal a Million,21.295
First Blood,57.789
Black Book,27.012
The Secret Life of Bees,24.973
Bonnie and Clyde,27.832
Incredibles 2,100.847
A Perfect World,22.823
Extraction 2,138.294
Then Came You,22.029
Dragon Ball Z: Fusion Reborn,46.363
Breathe,25.486
Invasion of the Body Snatchers,21.568
Eyes Wide Shut,48.795
Lucky Number Slevin,29.193
The Conjuring: The Devil Made Me Do It,185.572
Sorry If I Call You Love,20.455
"It's the Great Pumpkin, Charlie Brown",22.211
Sympathy for Mr. Vengeance,27.768
The Name of the Rose,35.004
Fist of Legend,25.948
The Age of Adaline,90.759
Birdman or (The Unexpected Virtue of Ignorance),62.58
The Rocky Horror Picture Show,33.68
Ghostbusters,50.11
You Can't Take It with You,24.795
The Day the Earth Stood Still,26.135
Ciao Alberto,38.567
Cold Eyes,50.413
The Passion of the Christ,51.954
The Banshees of Inisherin,40.074
Marty,21.718
Men of Honor,35.365
After Hours,26.387
The Bourne Identity,57.552
Back to the Future Part III,45.277
Mirage,34.564
The Man Who Knew Too Much,20.658
Scarface,25.163
The Last Letter from Your Lover,27.366
The Adventures of Robin Hood,30.647
The Fugitive,40.162
The Last Duel,47.086
The Best of Me,29.268
The Outlaw Josey Wales,31.296
Letters from Iwo Jima,31.21
A Better Tomorrow,27.3
Dirty Harry,29.756
Barton Fink,22.395
Star Trek II: The Wrath of Khan,28.039
Pretty Woman,96.38
The Unforgivable,30.1
Miss Sloane,22.747
Paddington 2,46.027
Miller's Crossing,22.365
Violent Night,128.558
Transformers: Rise of the Beasts,460.082
Dunkirk,54.311
The Big Blue,22.791
The Guernsey Literary & Potato Peel Pie Society,20.443
Neon Genesis Evangelion: Death and Rebirth,25.532
Promising Young Woman,30.965
One Piece: Strong World,24.777
In Cold Blood,20.576
Open Your Eyes,21.104
The Last Full Measure,21.634
Baby Driver,84.8
Barbie: Princess Charm School,46.71
Man on Fire,47.905
The Devil's Advocate,48.685
The Thin Red Line,33.13
My Darling Clementine,20.532
2 Hearts,37.587
Bram Stoker's Dracula,59.354
Sin City,36.811
John Wick: Chapter 3 - Parabellum,102.12
3096 Days,44.212
Irma la Douce,25.053
Apollo 13,33.218
Injustice,24.44
Nocturnal Animals,45.7
Lemonade Mouth,25.346
Cell 211,22.981
The Death of Superman,26.382
Spider-Man: Far From Home,105.199
Scooby-Doo! in Where's My Mummy?,31.477
Boys Don't Cry,20.821
Captain America: Civil War,121.118
Predestination,56.525
Once Upon a Time… in Hollywood,72.35
They Call Me Jeeg,22.249
The Reader,28.48
Babylon,95.247
Unbroken,42.669
Sense and Sensibility,28.728
Justice League: War,32.311
Memories,66.154
The Stronghold,31.095
"McFarland, USA",38.738
The Boss Baby: Family Business,105.475
Mulan: Rise of a Warrior,26.732
Ray,36.958
The One and Only Ivan,22.73
Star Trek,53.725
Chaplin,20.658
Malena,67.502
The Long Goodbye,20.604
Ghostbusters: Afterlife,63.975
Lone Survivor,52.416
The Hurricane,20.366
Wind River,41.568
Ocean's Eleven,50.16
